Subject;Group;TrialID;Eye;Training;Session;Task;Emotion;Gender;Target Name;Target Position;Correct response;Subject response;Errors;Response time;First time on eyes;Total fixation time on eyes;Total fixation time on face (other than eyes);Total fixation time on image (used for percentage computation);Percent time on eyes;Percent time on face;First blink type;First area looked (1 for eyes);Response time_sorting;Total fixation time on image (used for percentage computation)_sorting
19;YA;1;L;False;1;Classic;Fear;Femme;Femme_Fear2;Left;2;2;0;1453.4022;622;3920;612;4532;86.49602824360106;13.503971756398942;Late;0;Deviant Response time 3 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;2;L;False;1;Classic;Angry;Femme;Femme_Angry58;Left;1;1;0;564.5436;333;4567;83;4650;98.21505376344086;1.7849462365591398;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;3;L;False;1;Classic;Angry;Homme;Homme_Angry9;Left;1;1;0;587.6661;510;3992;662;4654;85.77567683712935;14.22432316287065;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;1;Classic;Fear;Homme;Homme_Fear28;Right;2;2;0;640.996;303;4307;320;4627;93.08407175275558;6.915928247244435;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;1;Classic;Fear;Femme;Femme_Fear8;Left;2;2;0;552.1321;304;4138;302;4440;93.1981981981982;6.801801801801802;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;6;L;False;1;Classic;Neutral;Homme;Homme_Neutral46;Right;3;3;0;855.2158;331;4463;178;4641;96.16461969403146;3.8353803059685414;Late;1;Deviant Response time 2 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;1;Classic;Fear;Homme;Homme_Fear21;Left;2;2;0;422.3472;258;3798;636;4434;85.65629228687416;14.343707713125845;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;8;L;False;1;Classic;Neutral;Homme;Homme_Neutral28;Right;3;3;0;541.4479;311;3808;603;4411;86.32963046928134;13.670369530718657;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;1;Classic;Angry;Homme;Homme_Angry28;Left;1;1;0;508.5734;310;4389;250;4639;94.6109075231731;5.389092476826902;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;1;Classic;Neutral;Femme;Femme_Neutral2;Left;3;3;0;636.3896;303;4701;0;4701;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;1;Classic;Angry;Femme;Femme_Angry4;Left;1;1;0;537.7005;247;4279;432;4711;90.82997240500956;9.170027594990447;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;1;Classic;Neutral;Femme;Femme_Neutral58;Left;3;3;0;696.8624;264;4312;381;4693;91.88152567653952;8.118474323460473;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;1;Classic;Angry;Homme;Homme_Angry46;Right;1;1;0;463.9444;308;4416;0;4416;100.0;0.0;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;14;L;False;1;Classic;Neutral;Femme;Femme_Neutral8;Right;3;3;0;479.1003;290;4714;0;4714;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;1;Classic;Fear;Homme;Homme_Fear9;Left;2;2;0;422.1929;297;4225;426;4651;90.84067942377983;9.159320576220168;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;1;Classic;Angry;Homme;Homme_Angry21;Right;1;1;0;501.3281;293;4711;0;4711;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;17;L;False;1;Classic;Angry;Femme;Femme_Angry8;Right;1;1;0;427.5533;348;4184;425;4609;90.77891082664352;9.221089173356477;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;1;Classic;Neutral;Femme;Femme_Neutral4;Right;3;3;0;451.3781;277;4727;0;4727;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;1;Classic;Fear;Femme;Femme_Fear58;Right;2;2;0;760.7038;269;4621;0;4621;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;1;Classic;Angry;Femme;Femme_Angry2;Right;1;1;0;518.9628;308;4261;371;4632;91.99050086355786;8.009499136442141;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;1;Classic;Neutral;Homme;Homme_Neutral9;Left;3;3;0;406.0448;286;4354;328;4682;92.99444681759933;7.005553182400684;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;1;Classic;Fear;Femme;Femme_Fear4;Right;2;2;0;469.1882;318;4687;0;4687;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;1;Classic;Neutral;Homme;Homme_Neutral21;Left;3;3;0;404.3098;230;3770;782;4552;82.8207381370826;17.1792618629174;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;1;Classic;Fear;Homme;Homme_Fear46;Right;2;2;0;419.4563;271;4733;0;4733;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;1;L;False;2;Classic;Angry;Homme;Homme_Angry30;Left;1;1;0;1322.1957;316;4323;69;4392;98.42896174863388;1.5710382513661203;Late;1;Deviant Response time 3 SD;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;2;L;False;2;Classic;Fear;Femme;Femme_Fear19;Right;2;2;Early blink;543.5661;465;4371;0;4371;100.0;0.0;Early capture;1;Response time not relevant;Total fixation time on image (used for percentage computation) not relevant
19;YA;3;L;False;2;Classic;Neutral;Homme;Homme_Neutral30;Right;3;3;0;406.702;296;4566;0;4566;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;2;Classic;Angry;Femme;Femme_Angry22;Left;1;1;0;469.828;237;4364;354;4718;92.49682068673167;7.503179313268333;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;2;Classic;Neutral;Homme;Homme_Neutral15;Right;3;3;0;540.9232;256;3950;221;4171;94.70151042915369;5.2984895708463196;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;6;L;False;2;Classic;Fear;Femme;Femme_Fear27;Right;2;2;0;612.0458;482;4126;410;4536;90.96119929453262;9.038800705467372;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;2;Classic;Neutral;Homme;Homme_Neutral7;Left;3;3;0;539.8529;201;4372;0;4372;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;8;L;False;2;Classic;Angry;Homme;Homme_Angry7;Left;1;1;0;770.9763;206;4454;291;4745;93.86722866174921;6.132771338250791;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;2;Classic;Neutral;Femme;Femme_Neutral22;Left;3;3;0;426.0869;232;4772;0;4772;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;2;Classic;Fear;Homme;Homme_Fear7;Right;2;2;0;929.2073;245;4471;231;4702;95.08719693747342;4.912803062526584;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;2;Classic;Fear;Femme;Femme_Fear16;Left;2;2;0;568.3272;239;4627;0;4627;100.0;0.0;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;2;Classic;Neutral;Femme;Femme_Neutral16;Right;3;3;0;765.6769;313;4447;200;4647;95.69614805250698;4.303851947493007;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;2;Classic;Fear;Homme;Homme_Fear47;Left;2;2;0;316.8037;1105;3506;1171;4677;74.96258285225572;25.03741714774428;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;14;L;False;2;Classic;Angry;Homme;Homme_Angry47;Right;1;1;0;523.7493;809;3732;896;4628;80.63958513396715;19.360414866032844;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;2;Classic;Angry;Homme;Homme_Angry15;Right;1;1;0;522.84;261;4229;463;4692;90.13213981244672;9.867860187553282;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;2;Classic;Neutral;Homme;Homme_Neutral47;Left;3;3;0;713.956;471;4165;534;4699;88.63587997446265;11.364120025537348;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;17;L;False;2;Classic;Fear;Homme;Homme_Fear30;Right;2;2;0;663.2535;265;4542;151;4693;96.78244193479651;3.217558065203495;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;2;Classic;Angry;Femme;Femme_Angry27;Left;1;1;0;630.4396;241;4216;453;4669;90.29770828871278;9.702291711287213;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;2;Classic;Fear;Femme;Femme_Fear22;Left;2;2;0;445.5615;198;4106;605;4711;87.15771598386755;12.842284016132455;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;2;Classic;Neutral;Femme;Femme_Neutral27;Right;3;3;0;444.705;543;4165;480;4645;89.66630785791173;10.333692142088267;No blink;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;2;Classic;Angry;Femme;Femme_Angry19;Right;1;1;0;707.7853;502;4085;575;4660;87.66094420600858;12.339055793991417;No blink;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;2;Classic;Angry;Femme;Femme_Angry16;Right;1;1;0;522.0451;304;4305;329;4634;92.90030211480362;7.099697885196375;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;2;Classic;Neutral;Femme;Femme_Neutral19;Left;3;3;0;673.1525;238;4766;0;4766;100.0;0.0;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;2;Classic;Fear;Homme;Homme_Fear15;Left;2;2;0;424.2732;246;4295;417;4712;91.15025466893039;8.84974533106961;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;1;L;False;3;Gaze;Neutral;Femme;Femme_Neutral37;Right;3;3;0;906.9538;372;2796;1736;4532;61.694616063548104;38.305383936451896;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;2;L;False;3;Gaze;Fear;Homme;Homme_Fear36;Right;2;2;0;929.3935;325;3818;761;4579;83.38065079711727;16.619349202882724;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;3;L;False;3;Gaze;Angry;Homme;Homme_Angry3;Left;1;1;0;726.0353;285;3022;1700;4722;63.99830580262601;36.00169419737399;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;3;Gaze;Neutral;Homme;Homme_Neutral33;Right;3;3;0;711.2507;347;3490;1023;4513;77.33215156215377;22.66784843784622;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;3;Gaze;Angry;Homme;Homme_Angry36;Left;1;1;0;804.2516;480;4008;418;4426;90.55580659737912;9.444193402620876;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;6;L;False;3;Gaze;Angry;Homme;Homme_Angry33;Right;1;1;0;644.0945;332;3469;1167;4636;74.8274374460742;25.172562553925797;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;3;Gaze;Neutral;Femme;Femme_Neutral14;Left;3;3;0;698.5224;292;3503;1153;4656;75.23625429553265;24.763745704467354;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;8;L;False;3;Gaze;Fear;Homme;Homme_Fear33;Left;2;2;0;378.3406;287;3529;977;4506;78.31779849090103;21.682201509098977;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;3;Gaze;Angry;Femme;Femme_Angry61;Right;1;1;0;1582.9775;303;2124;2541;4665;45.53054662379421;54.46945337620579;Late;1;Deviant Response time 2 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;3;Gaze;Fear;Femme;Femme_Fear37;Right;2;2;0;1061.7286;297;3376;1183;4559;74.05132704540469;25.94867295459531;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;3;Gaze;Fear;Femme;Femme_Fear61;Right;2;2;0;965.5688;328;2635;1986;4621;57.022289547716944;42.977710452283056;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;3;Gaze;Neutral;Homme;Homme_Neutral3;Left;3;3;0;1132.6846;304;3547;1105;4652;76.24677558039554;23.75322441960447;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;3;Gaze;Fear;Femme;Femme_Fear12;Left;2;2;0;628.491;289;2440;2125;4565;53.45016429353778;46.54983570646221;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;14;L;False;3;Gaze;Neutral;Femme;Femme_Neutral12;Right;3;3;0;1667.5928;292;2927;1670;4597;63.67195997389602;36.32804002610398;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;3;Gaze;Angry;Femme;Femme_Angry37;Right;1;1;0;1274.7613;351;4001;498;4499;88.93087352745054;11.069126472549454;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;3;Gaze;Angry;Homme;Homme_Angry24;Right;1;1;0;1103.788;355;3454;1017;4471;77.25341087005144;22.746589129948557;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;17;L;False;3;Gaze;Fear;Homme;Homme_Fear3;Left;2;2;0;1125.1069;276;1417;3207;4624;30.64446366782007;69.35553633217994;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;3;Gaze;Fear;Femme;Femme_Fear14;Left;2;2;0;878.3164;271;3800;839;4639;81.91420564776891;18.085794352231087;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;3;Gaze;Neutral;Homme;Homme_Neutral36;Right;3;3;0;1549.4242;289;3126;1389;4515;69.2358803986711;30.764119601328904;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;3;Gaze;Angry;Femme;Femme_Angry12;Left;1;1;0;716.5652;277;3820;859;4679;81.64137636247061;18.358623637529387;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;3;Gaze;Neutral;Femme;Femme_Neutral61;Left;3;3;0;1922.9576;704;3555;1105;4660;76.28755364806867;23.71244635193133;Late;0;Deviant Response time 2 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;3;Gaze;Angry;Femme;Femme_Angry14;Left;1;1;0;1058.0975;284;3656;944;4600;79.47826086956522;20.52173913043478;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;3;Gaze;Fear;Homme;Homme_Fear24;Right;2;2;0;1223.8142;339;3175;1414;4589;69.18718675092613;30.812813249073873;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;3;Gaze;Neutral;Homme;Homme_Neutral24;Left;3;3;0;1399.6381;306;3852;814;4666;82.55465066438063;17.445349335619373;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;1;L;False;4;Gaze;Neutral;Femme;Femme_Neutral1;Right;3;3;0;784.3315;437;3739;748;4487;83.32961889904168;16.670381100958323;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;2;L;False;4;Gaze;Angry;Femme;Femme_Angry1;Right;1;1;0;550.7569;309;3700;868;4568;80.99824868651488;19.001751313485112;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;3;L;False;4;Gaze;Angry;Homme;Homme_Angry25;Right;1;1;0;566.3986;328;3744;879;4623;80.98637248539909;19.01362751460091;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;4;Gaze;Angry;Femme;Femme_Angry57;Left;1;1;0;427.9228;264;3600;1049;4649;77.43600774360078;22.563992256399228;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;4;Gaze;Neutral;Femme;Femme_Neutral31;Left;3;3;0;811.0427;274;4052;649;4701;86.19442671771964;13.805573282280365;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;6;L;False;4;Gaze;Fear;Homme;Homme_Fear71;Right;2;2;0;978.8482;339;4237;402;4639;91.33433929726235;8.665660702737659;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;4;Gaze;Neutral;Homme;Homme_Neutral71;Left;3;3;0;1288.5768;272;3807;924;4731;80.46924540266328;19.530754597336717;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;8;L;False;4;Gaze;Fear;Homme;Homme_Fear20;Right;2;2;0;855.6683;741;3566;1027;4593;77.63988678423688;22.360113215763118;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;4;Gaze;Neutral;Homme;Homme_Neutral49;Left;3;3;0;783.1397;287;3949;589;4538;87.0207139709123;12.979286029087703;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;4;Gaze;Fear;Femme;Femme_Fear32;Left;2;2;0;500.8708;934;3458;1213;4671;74.03125669021622;25.968743309783772;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;4;Gaze;Neutral;Femme;Femme_Neutral32;Right;3;3;0;1004.6878;292;4121;522;4643;88.75726900710748;11.242730992892525;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;4;Gaze;Angry;Femme;Femme_Angry31;Right;1;1;0;772.4997;321;3764;850;4614;81.57780667533594;18.422193324664065;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;4;Gaze;Angry;Homme;Homme_Angry49;Left;1;1;0;538.9382;282;3765;921;4686;80.34571062740076;19.65428937259923;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;14;L;False;4;Gaze;Fear;Femme;Femme_Fear1;Right;2;2;0;1152.9636;313;3357;1131;4488;74.79946524064172;25.20053475935829;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;4;Gaze;Fear;Femme;Femme_Fear57;Right;2;2;0;791.1863;874;2116;2476;4592;46.0801393728223;53.9198606271777;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;4;Gaze;Fear;Femme;Femme_Fear31;Left;2;2;0;852.9177;230;2430;2038;4468;54.386750223813785;45.613249776186215;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;17;L;False;4;Gaze;Angry;Homme;Homme_Angry20;Left;1;1;0;907.1594;689;3078;1538;4616;66.68110918544194;33.31889081455806;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;4;Gaze;Neutral;Homme;Homme_Neutral25;Right;3;3;0;1331.6447;273;3945;739;4684;84.22288642186166;15.777113578138344;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;4;Gaze;Fear;Homme;Homme_Fear25;Left;2;2;0;1378.06;717;2111;2494;4605;45.841476655808904;54.1585233441911;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;4;Gaze;Neutral;Femme;Femme_Neutral57;Left;3;3;0;1105.2134;507;3768;898;4666;80.75439348478353;19.24560651521646;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;4;Gaze;Angry;Homme;Homme_Angry71;Right;1;1;0;608.2323;274;3573;1106;4679;76.36247061337893;23.637529386621072;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;4;Gaze;Neutral;Homme;Homme_Neutral20;Right;3;3;0;760.8018;276;3674;983;4657;78.89199055185742;21.10800944814258;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;4;Gaze;Angry;Femme;Femme_Angry32;Left;1;1;0;751.229;281;3757;938;4695;80.02129925452608;19.97870074547391;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;4;Gaze;Fear;Homme;Homme_Fear49;Left;2;2;0;431.0438;290;2723;1865;4588;59.35047951176984;40.649520488230166;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
